Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Voltage #1","Voltage #2","Voltage #3","Voltage #4","Voltage #5","Voltage #6","Voltage #7","Standby +3.3V","VBat","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","Fan Control #1","Fan Control #2","Fan Control #3","Voltage #1","Voltage #2","Voltage #3","Voltage #4","Voltage #5","Voltage #6","Voltage #7","Standby +3.3V","VBat","Temperature #1","Temperature #2","Temperature #3","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Temperature","CPU CCD #1","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core Percentage","Memory","Used Memory","Available Memory","GPU Temperature","GPU Fan","GPU Core","GPU Memory","GPU Core",GPU Percentage,"Temperature","Used Space","Used Space","Used Space"
04/17/2021 13:37:56,,,,,,0.204,2.052,2.06400013,2.04,1.116,0.936,1.38,3.336,3.12000012,22,24,32,21,20,29,956.090637,100,100,100,1.793,1.342,1.254,1.694,1.342,1.243,2.805,3.388,3.19,27,31,29,0,0,0,0,0,0,0,18.1670666,99.81556,0.0215781853,0.01885236,0.0875309855,0.0185782537,0.04671974,0.0634249449,32.5,23.5,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.256684482,20.3388138,3.243969,12.705677,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8964539,16.3497772
04/17/2021 13:38:01,,,,,,0.984,2.052,2.06400013,2.028,1.116,0.936,1.38,3.36000013,3.12000012,22,24,25,21,20,29,957.446838,100,100,100,1.782,1.342,1.254,1.694,1.342,1.243,2.805,3.366,3.19,27,31,29,0,0,0,0,1.5625,0,0.260418653,21.310482,99.81556,0.1763509,0.173982754,0.02510841,0.0212525837,0.0536475927,0.06856994,25.125,23.5,2844.74341,2844.74341,2844.74341,2844.74341,2844.74341,2844.74341,0.5189122,20.303894,3.23839951,12.7112465,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8964539,16.3497772
04/17/2021 13:38:06,,,,,,0.924,2.052,2.06400013,2.028,1.116,0.924,1.38,3.336,3.12000012,22,24,33,21,20,29,956.090637,100,100,100,1.782,1.342,1.254,1.705,1.342,1.243,2.805,3.388,3.19,27,31,29,6.25,5.46875,1.5625,6.25,6.25,1.5625,4.557294,27.5944748,99.81556,1.09210992,1.29000413,0.967186,0.9124811,1.05192578,0.8258307,33.125,26.5,3368.77515,3368.77515,3368.77515,3368.77515,3368.77515,3368.77515,6.139538,20.2679977,3.23267365,12.7169724,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8964539,16.3497772
04/17/2021 13:38:11,,,,,,0.204,2.052,2.06400013,2.04,1.116,0.936,1.38,3.36000013,3.12000012,22,24,25,21,20,29,956.090637,100,100,100,1.793,1.342,1.243,1.694,1.342,1.243,2.805,3.366,3.19,27,31,29,0.7692337,0.7692337,0,0,0.7692337,1.53846145,0.6410301,21.1157055,99.81556,0.137346387,0.07027936,0.0160323661,0.0998173356,0.08097704,0.07354961,25.375,23.5,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.478002131,20.3151855,3.2402,12.709446,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.896492,16.3497772
04/17/2021 13:38:16,,,,,,0.216,2.052,2.06400013,2.04,1.14,0.924,1.38,3.36000013,3.12000012,22,24,23,21,20,29,958.8068,100,100,100,1.782,1.342,1.254,1.694,1.342,1.243,2.805,3.388,3.19,27,31,29,0,0.78125,0,0,0,0,0.130206347,19.0067711,99.81556,0.0203076,0.08791315,0.01779013,0.0173324086,0.03956244,0.06769709,23.625,23.5,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.250602841,20.30851,3.23913574,12.71051,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.896492,16.3497772
04/17/2021 13:38:21,,,,,,0.924,2.052,2.06400013,2.028,1.128,0.936,1.38,3.36000013,3.12000012,22,25,23,21,20,30,954.738342,100,100,100,1.793,1.342,1.254,1.694,1.342,1.243,2.805,3.388,3.19,27,31,29,0,0.7692337,0.7692337,0,0,0,0.256413221,21.40406,99.81556,0.04375019,0.07900051,0.0308346152,0.03470778,0.228290677,0.03601893,23.875,23.5,2495.389,2495.389,2495.389,2495.389,2495.389,2495.389,0.4526027,20.2957153,3.23709488,12.7125511,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.896492,16.3497772
04/17/2021 13:38:26,,,,,,0.936,2.052,2.06400013,2.04,1.116,0.924,1.38,3.36000013,3.12000012,22,25,28,21,20,30,957.446838,100,100,100,1.793,1.342,1.243,1.694,1.342,1.243,2.805,3.388,3.19,27,31,30,0,0.78125,0,0,1.5625,0.78125,0.520831347,20.73383,99.81556,0.143280178,0.180395946,0.116712481,0.154557779,0.315863878,0.314663172,27.875,24.5,3019.42065,3019.42065,3019.42065,3019.42065,3019.42065,3019.42065,1.2254734,20.2859573,3.23553848,12.7141075,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.896492,16.3497772
04/17/2021 13:38:31,,,,,,0.936,2.052,2.06400013,2.04,1.116,0.924,1.38,3.36000013,3.12000012,22,25,32,22,20,30,957.446838,100,100,100,1.793,1.342,1.243,1.694,1.342,1.243,2.805,3.388,3.19,27,31,29,0,0.7692337,0,0,0.7692337,0,0.256413221,22.22639,99.81556,0.087873064,0.0613462031,0.0183403045,0.0370740481,0.2209916,0.143862441,32.375,24.25,3353.80273,4192.25342,3353.80273,4192.25342,3353.80273,3353.80273,0.569487631,20.1442566,3.2129364,12.73671,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.896492,16.3497772
04/17/2021 13:38:36,,,,,,0.204,2.052,2.06400013,2.04,1.116,0.936,1.38,3.36000013,3.12000012,22,25,25,22,21,30,958.8068,100,100,100,1.782,1.342,1.243,1.694,1.342,1.243,2.805,3.366,3.19,27,31,29,0,0.78125,0,0,0,0,0.130206347,18.3890553,99.81556,0.0220651161,0.0741430447,0.0240862332,0.02113814,0.03320405,0.06584583,24.75,22.75,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.2404824,19.9886169,3.18811417,12.7615318,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.896492,16.3497772
04/17/2021 13:38:41,,,,,,1.35600007,2.04,2.06400013,2.028,1.116,0.924,1.38,3.36000013,3.12000012,22,25,32,22,20,30,958.8068,100,100,100,1.793,1.342,1.243,1.694,1.342,1.243,2.805,3.388,3.19,27,31,29,0,0,0,0.78125,3.125,0.78125,0.78125,25.4828281,99.81556,0.350235581,0.360274583,0.3357111,0.324054867,0.9417883,0.439671069,32,23.5,2495.389,2495.389,2495.389,2320.71167,2320.71167,2320.71167,2.75173545,19.924118,3.177826,12.77182,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961182,16.3497772
04/17/2021 13:38:46,,,,,,0.216,2.052,2.06400013,2.04,1.116,0.924,1.38,3.336,3.12000012,22,25,24,22,21,30,958.8068,100,100,100,1.782,1.342,1.243,1.694,1.342,1.243,2.805,3.388,3.19,27,31,30,0,0.7692337,0,0,0,0,0.12820363,18.2773056,99.81556,0.0193875767,0.07790961,0.0164831821,0.0231153816,0.0339844,0.0618007071,24.5,22.75,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.232680842,19.92469,3.17791748,12.7717285,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961182,16.3497772
04/17/2021 13:38:51,,,,,,0.204,2.052,2.06400013,2.04,1.116,0.936,1.38,3.36000013,3.12000012,22,25,31,22,21,30,958.8068,100,100,100,1.793,1.342,1.243,1.694,1.342,1.243,2.805,3.366,3.19,27,31,29,0.78125,0,0,0,1.5625,0,0.390625,19.8851566,99.81556,0.0254036169,0.09893638,0.0216695927,0.0480067171,0.1668375,0.08961662,31.375,23,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.450470418,19.8882675,3.1721077,12.7775383,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961182,16.3497772
04/17/2021 13:38:56,,,,,,0.216,2.052,2.06400013,2.04,1.116,0.936,1.38,3.36000013,3.12000012,22,25,24,22,20,30,958.8068,100,100,100,1.793,1.342,1.243,1.694,1.342,1.243,2.805,3.366,3.19,27,31,29,0,0.7692337,0,0,0,0,0.12820363,18.3319721,99.81556,0.0213026386,0.0753704756,0.0187937953,0.022714803,0.0367463,0.06147419,23.875,23.25,2670.06616,2670.06616,2670.06616,2670.06616,2670.06616,2670.06616,0.2364022,19.8749847,3.16999054,12.7796555,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961182,16.3497772
04/17/2021 13:39:01,,,,,,0.204,2.052,2.06400013,2.04,1.164,0.924,1.38,3.36000013,3.12000012,22,25,23,22,21,30,958.8068,100,100,100,1.782,1.342,1.243,1.694,1.342,1.243,2.805,3.388,3.19,27,31,29,0,0.7692337,0.7692337,0.7692337,0,0,0.384616852,21.0603828,99.81556,0.110604785,0.08209639,0.0176081266,0.0238667969,0.0343927443,0.0555344746,23.5,23.25,3194.098,3194.098,3194.098,3194.098,3194.098,3194.098,0.324103326,19.8679657,3.168869,12.780777,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961182,16.3497772
04/17/2021 13:39:06,,,,,,0.924,2.052,2.06400013,2.04,1.116,0.924,1.38,3.36000013,3.12000012,22,25,23,22,20,30,958.8068,100,100,100,1.782,1.342,1.243,1.694,1.342,1.243,2.805,3.388,3.19,27,31,30,0,0.7692337,0,0,0,0,0.12820363,18.0034389,99.81556,0.0179825872,0.0778043643,0.0152033241,0.0226848014,0.0236613,0.0578988232,23.25,24.25,3368.77515,3368.77515,3368.77515,3368.77515,3368.77515,3368.77515,0.2152352,19.8594666,3.1675148,12.7821312,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961182,16.3497772
04/17/2021 13:39:11,,,,,,0.216,2.052,2.06400013,2.04,1.104,0.924,1.38,3.36000013,3.12000012,22,25,32,22,21,30,960.1707,100,100,100,1.782,1.342,1.243,1.694,1.342,1.243,2.805,3.388,3.19,27,31,29,0.78125,0.78125,0,0,0,0,0.260418653,19.4443474,99.81556,0.07231492,0.116207242,0.0172499921,0.0452889,0.101474151,0.0253378451,32.125,22.75,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.377873033,19.8558578,3.16693878,12.7827072,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961258,16.3497772
04/17/2021 13:39:16,,,,,,0.924,2.052,2.06400013,2.028,1.116,0.936,1.38,3.336,3.12000012,22,25,24,22,20,30,960.1707,100,100,100,1.793,1.331,1.243,1.694,1.342,1.232,2.805,3.388,3.19,27,31,30,0,0.78125,0,0,0,0,0.130206347,18.10597,99.81556,0.0184311867,0.07258043,0.0166155323,0.0215132236,0.033673536,0.06290711,24.375,23,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.225721031,19.8559341,3.16695023,12.7826958,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961258,16.3497772
04/17/2021 13:39:21,,,,,,0.216,2.052,2.06400013,2.04,1.116,0.924,1.38,3.36000013,3.12000012,22,25,32,22,20,30,956.090637,100,100,100,1.793,1.342,1.243,1.694,1.342,1.243,2.805,3.388,3.19,27,31,30,2.34375,0.78125,0.78125,0,2.34375,0,1.04166865,21.9336052,99.81556,0.263321429,0.273706675,0.0431574471,0.0344039574,0.08956314,0.0299662128,32.625,22.5,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.7341189,19.8573151,3.16717148,12.7824745,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961258,16.3497772
04/17/2021 13:39:26,,,,,,0.912,2.052,2.06400013,2.04,1.116,0.924,1.38,3.36000013,3.12000012,22,25,35,22,21,31,961.538452,100,100,100,1.782,1.331,1.243,1.694,1.342,1.232,2.805,3.388,3.19,27,31,30,0.78125,3.90625,0,0.78125,0.78125,5.46875,1.953125,29.6356316,99.81556,0.482545018,0.60730356,0.0494671576,0.06616976,0.61767596,1.27546859,35.625,24.75,3368.77515,3368.77515,3368.77515,3368.77515,3368.77515,3368.77515,3.09863,19.9948654,3.1891098,12.7605362,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961258,16.3497772
04/17/2021 13:39:31,,,,,,0.216,2.052,2.06400013,2.04,1.116,0.924,1.38,3.336,3.12000012,22,25,31,22,21,31,958.8068,100,100,100,1.782,1.342,1.243,1.694,1.342,1.243,2.805,3.388,3.19,27,31,30,3.90625,4.6875,1.5625,4.6875,5.46875,4.6875,4.166669,31.7984219,99.81556,0.88789916,0.951660156,0.770118833,1.02831233,0.870283842,1.07265174,30.875,25.25,2670.06616,2670.06616,2670.06616,2670.06616,2670.06616,2670.06616,5.580926,20.1070557,3.20700455,12.7426414,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961258,16.3497772
04/17/2021 13:39:36,,,,,,1.284,2.052,2.06400013,2.028,1.116,0.924,1.38,3.36000013,3.12000012,22,25,37,22,22,31,958.8068,100,100,100,1.782,1.342,1.243,1.694,1.342,1.232,2.805,3.366,3.19,27,31,30,0,50,0,0,0,0,8.333331,36.128273,99.81556,0.217833132,7.14192724,0.07705469,0.0694328,0.16479595,0.577352941,37,39.25,4192.25342,4192.25342,4192.25342,3353.80273,4192.25342,3353.80273,8.248396,22.034111,3.51436234,12.4352837,21.0000019,30,300,150,0.825000048,0,16,1.36139679,18.8961258,16.3497772
04/17/2021 13:39:41,,,,,,0.924,2.052,2.06400013,2.028,1.116,0.936,1.38,3.36000013,3.12000012,22,26,39,22,22,31,964.2857,100,100,100,1.793,1.342,1.243,1.694,1.342,1.232,2.805,3.388,3.19,27,31,29,0,0,0,0,0,0,0,20.5005131,99.81556,0.0482953936,0.076452516,0.0344446376,0.01640221,0.130321622,0.023282025,39.375,24.25,3019.42065,3019.42065,3019.42065,3019.42065,3019.42065,3019.42065,0.3291984,19.889389,3.172287,12.777359,21.0000019,30,300,150,0.825000048,0,17,1.36139679,18.91417,16.3497772
04/17/2021 13:39:46,,,,,,0.996,2.052,2.06400013,2.028,1.116,0.936,1.38,3.36000013,3.12000012,22,26,31,22,21,31,958.8068,100,100,100,1.782,1.342,1.243,1.694,1.342,1.232,2.805,3.388,3.19,27,31,30,0,0,0,0,0,0,0,17.63627,99.81556,0.06090341,0.0168558527,0.0183882043,0.018268019,0.03402719,0.08503042,31.5,24.5,3593.36,3593.36,3593.36,3593.36,3593.36,3593.36,0.2334731,19.8841476,3.17145157,12.7781944,21.0000019,30,300,150,0.825000048,0,17,1.36139679,18.91417,16.3497772
04/17/2021 13:39:51,,,,,,0.924,2.052,2.06400013,2.04,1.116,0.924,1.38,3.36000013,3.12000012,22,26,33,22,21,31,961.538452,100,100,100,1.782,1.342,1.243,1.694,1.331,1.232,2.805,3.366,3.19,27,31,30,0,0,0,0,0,0,0,17.87922,99.81556,0.0174451284,0.0169584285,0.01432721,0.0467231348,0.09930187,0.0252931546,33.625,24.5,3368.77515,3368.77515,3368.77515,3368.77515,3368.77515,3368.77515,0.220048919,19.88704,3.17191315,12.7777328,21.0000019,30,300,150,0.825000048,0,17,1.36139679,18.91417,16.3497772
04/17/2021 13:39:56,,,,,,0.204,2.052,2.06400013,2.04,1.128,0.924,1.38,3.36000013,3.12000012,22,26,25,22,21,31,958.8068,100,100,100,1.782,1.342,1.243,1.694,1.342,1.232,2.805,3.366,3.19,27,31,30,0,0,0,0,0,0,0,17.4466038,99.81556,0.06459404,0.0168816689,0.01745908,0.0166537426,0.0921426043,0.0244335942,25.75,23.5,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.232164726,19.8693237,3.16908646,12.78056,21.0000019,30,300,150,0.825000048,0,17,1.36139679,18.91417,16.3497772
04/17/2021 13:40:01,,,,,,0.216,2.052,2.06400013,2.04,1.152,0.936,1.38,3.36000013,3.12000012,22,26,32,22,21,31,960.1707,100,100,100,1.782,1.342,1.243,1.694,1.342,1.232,2.805,3.388,3.19,27,31,30,0,0,0,0,0,0.7692337,0.12820363,18.01153,99.81556,0.0174122714,0.0180132128,0.0250141788,0.0178629775,0.02816912,0.177773431,31.75,23.25,2670.06616,2670.06616,2670.06616,2670.06616,2670.06616,2670.06616,0.2842452,19.8655472,3.16848373,12.7811623,21.0000019,30,300,150,0.825000048,0,17,1.36139679,18.91417,16.3497772
04/17/2021 13:40:06,,,,,,0.204,2.052,2.06400013,2.04,1.116,0.924,1.38,3.36000013,3.12000012,22,26,24,22,21,31,961.538452,100,100,100,1.782,1.342,1.243,1.694,1.342,1.232,2.805,3.366,3.19,27,31,30,0,0.7692337,0.7692337,0,0,0,0.256413221,17.46763,99.81556,0.0185814034,0.0805041939,0.0173813682,0.0200472213,0.0315941758,0.06318835,24.125,22.75,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.231296718,19.814476,3.16033936,12.7893066,21.0000019,30,300,150,0.825000048,0,17,1.36139679,18.91417,16.3497772
04/17/2021 13:40:11,,,,,,0.216,2.052,2.06400013,2.04,1.116,0.924,1.38,3.336,3.12000012,22,26,23,22,21,31,961.538452,100,100,100,1.804,1.342,1.243,1.694,1.342,1.232,2.805,3.388,3.19,27,31,30,0,0.7692337,0,0,0,0,0.12820363,18.1667461,99.81556,0.0174724031,0.07427649,0.0170517433,0.0313842222,0.0692436,0.021123128,23.5,23.25,2844.74341,2844.74341,2844.74341,2844.74341,2844.74341,2844.74341,0.230551586,19.8030472,3.158516,12.79113,21.0000019,30,300,150,0.825000048,0,17,1.36139679,18.896698,16.3497772
04/17/2021 13:40:17,,,,,,0.204,2.052,2.06400013,2.04,1.128,0.924,1.38,3.36000013,3.12000012,22,26,23,22,21,31,961.538452,100,100,100,1.793,1.342,1.243,1.694,1.342,1.232,2.805,3.388,3.19,27,31,30,0.78125,0,0,0,0,0.78125,0.260418653,18.4358311,99.81556,0.023329407,0.0263352226,0.06863026,0.01533424,0.029173201,0.0810197145,23.375,22.75,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.243822038,19.79647,3.157467,12.7921791,21.0000019,30,300,150,0.825000048,0,17,1.36139679,18.896698,16.3497772
04/17/2021 13:40:22,,,,,,0.924,2.052,2.06400013,2.028,1.128,0.924,1.38,3.36000013,3.12000012,22,26,23,22,21,31,960.1707,100,100,100,1.793,1.342,1.243,1.694,1.342,1.232,2.805,3.388,3.19,27,31,30,0,0,0.78125,0,0,0,0.130206347,18.15161,99.81556,0.0238321815,0.0332889147,0.08136444,0.0159135014,0.02342102,0.0572733767,23.5,22.75,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,2195.94238,0.23509343,19.790802,3.15656281,12.7930832,21.0000019,30,300,150,0.825000048,0,17,1.36139679,18.896698,16.3497772
04/17/2021 13:40:27,,,,,,0.924,2.052,2.06400013,2.028,1.116,0.924,1.38,3.36000013,3.12000012,22,26,27,22,21,31,960.1707,100,100,100,1.782,1.342,1.243,1.694,1.342,1.232,2.805,3.366,3.19,27,31,30,0,0.78125,0,0,0,0,0.130206347,18.21196,99.81556,0.0214214548,0.08469409,0.0169052519,0.0153795062,0.0216503162,0.0613959655,27.875,23.25,2495.389,2495.389,2495.389,2495.389,2495.389,2495.389,0.221446574,19.7820435,3.15516663,12.7944794,21.0000019,30,300,150,0.825000048,0,17,1.36139679,18.896698,16.3497772
04/17/2021 13:40:32,,,,,,0.936,2.052,2.06400013,2.04,1.116,0.924,1.38,3.36000013,3.12000012,22,26,23,22,21,31,961.538452,100,100,100,1.793,1.342,1.243,1.694,1.342,1.232,2.805,3.366,3.19,27,31,30,0.7692337,0,0,0,0,0,0.12820363,18.3564243,99.81556,0.07816424,0.0206344,0.0151789822,0.0160807036,0.0202586818,0.07066493,23.375,24,3019.42065,3019.42065,3019.42065,3019.42065,3019.42065,3019.42065,0.220981941,19.7769318,3.15435028,12.7952957,21.0000019,30,300,150,0.825000048,0,17,1.36139679,18.896698,16.3497772
